,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
3_RfR 1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3_RfR 2,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
4_RfR 0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
4_RfR 1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
4_RfR 2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
EWS_DaysToThreat,0.0,1.0,3.0,1.0,1.0,3.0,3.0,2.0,4.0,0.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0,3.0,2.0,0.0,3.0,4.0,3.0,1.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,0.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,0.0,3.0,3.0,4.0,2.0,4.0,1.0,3.0,2.0,3.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,2.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,0.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0
A.1_DikeIncrease 0,2.0,2.0,3.0,4.0,1.0,0.0,3.0,4.0,10.0,2.0,1.0,4.0,7.0,5.0,3.0,5.0,0.0,2.0,2.0,0.0,0.0,4.0,3.0,5.0,0.0,5.0,0.0,3.0,0.0,4.0,0.0,6.0,2.0,7.0,2.0,3.0,3.0,2.0,0.0,2.0,0.0,5.0,5.0,0.0,3.0,1.0,1.0,5.0,6.0,3.0,3.0,0.0,0.0,6.0,0.0,2.0,4.0,3.0,5.0,5.0,4.0,5.0,3.0,4.0,0.0,3.0,2.0,4.0,4.0,5.0,0.0,4.0,2.0,1.0,3.0,2.0,0.0,6.0,1.0,5.0,1.0,3.0,6.0,1.0,5.0,0.0,7.0,5.0,9.0,1.0,5.0,7.0,2.0,2.0,2.0,1.0,5.0,3.0,5.0,7.0,6.0,5.0,0.0,2.0,4.0,1.0,0.0,3.0,1.0,4.0,3.0,1.0,1.0,0.0,2.0,4.0,1.0,3.0,3.0,4.0,3.0,1.0,3.0,1.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0
A.1_DikeIncrease 1,3.0,3.0,1.0,6.0,4.0,0.0,0.0,4.0,1.0,3.0,1.0,1.0,2.0,3.0,4.0,0.0,1.0,4.0,0.0,4.0,6.0,0.0,2.0,1.0,3.0,1.0,6.0,1.0,6.0,4.0,0.0,3.0,3.0,0.0,6.0,1.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,6.0,0.0,2.0,1.0,0.0,1.0,0.0,4.0,2.0,2.0,5.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,4.0,1.0,7.0,0.0,4.0,0.0,1.0,3.0,2.0,0.0,6.0,0.0,2.0,4.0,2.0,2.0,2.0,0.0,1.0,3.0,5.0,4.0,2.0,1.0,4.0,2.0,0.0,1.0,1.0,5.0,7.0,2.0,0.0,6.0,0.0,3.0,1.0,0.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,5.0,0.0,1.0,6.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,5.0,1.0,5.0,0.0,3.0,3.0,5.0,2.0,0.0,1.0
A.1_DikeIncrease 2,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,2.0,0.0,2.0,6.0,0.0,3.0,0.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,7.0,4.0,7.0,2.0,1.0,1.0,4.0,6.0,0.0,2.0,3.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,6.0,5.0,1.0,0.0,0.0,0.0,7.0,2.0,6.0,5.0,0.0,0.0,0.0,2.0,0.0,1.0,5.0,2.0,6.0,5.0,5.0,0.0,6.0,1.0,6.0,1.0,4.0,5.0,1.0,1.0,4.0,2.0,2.0,0.0,1.0,4.0,2.0,5.0,0.0,1.0,4.0,6.0,6.0,1.0,4.0,1.0,1.0,6.0,6.0,6.0,2.0,2.0,1.0,6.0,6.0,6.0,2.0,1.0,2.0,2.0,7.0,0.0,2.0,4.0,3.0,0.0,7.0,4.0,3.0,7.0,1.0,2.0,5.0,6.0,5.0,6.0,5.0,5.0
A.2_DikeIncrease 0,3.0,1.0,4.0,7.0,6.0,4.0,6.0,3.0,3.0,2.0,5.0,7.0,5.0,9.0,4.0,6.0,3.0,1.0,6.0,6.0,6.0,4.0,4.0,5.0,5.0,6.0,5.0,1.0,1.0,2.0,10.0,5.0,1.0,6.0,5.0,1.0,7.0,5.0,7.0,3.0,5.0,1.0,2.0,6.0,3.0,2.0,9.0,1.0,4.0,4.0,9.0,1.0,4.0,6.0,4.0,5.0,10.0,5.0,2.0,5.0,9.0,0.0,2.0,2.0,5.0,5.0,3.0,7.0,9.0,2.0,6.0,5.0,1.0,1.0,5.0,2.0,4.0,1.0,4.0,0.0,2.0,6.0,5.0,6.0,1.0,10.0,6.0,6.0,6.0,7.0,2.0,1.0,6.0,5.0,4.0,6.0,2.0,1.0,5.0,6.0,6.0,5.0,4.0,4.0,6.0,3.0,8.0,5.0,6.0,6.0,5.0,5.0,3.0,5.0,2.0,6.0,0.0,2.0,2.0,5.0,4.0,4.0,4.0,1.0,1.0,5.0,5.0,4.0,5.0,6.0,1.0,6.0,1.0,4.0,4.0,3.0
A.2_DikeIncrease 1,4.0,4.0,10.0,6.0,6.0,1.0,2.0,2.0,2.0,4.0,5.0,5.0,0.0,6.0,1.0,0.0,3.0,0.0,1.0,5.0,2.0,3.0,10.0,1.0,5.0,0.0,2.0,4.0,1.0,2.0,1.0,2.0,3.0,10.0,6.0,3.0,0.0,3.0,6.0,0.0,4.0,6.0,5.0,0.0,7.0,6.0,5.0,7.0,5.0,6.0,2.0,1.0,1.0,5.0,5.0,5.0,0.0,2.0,5.0,3.0,5.0,5.0,7.0,6.0,2.0,5.0,1.0,5.0,5.0,6.0,0.0,5.0,4.0,5.0,0.0,0.0,5.0,0.0,7.0,5.0,1.0,0.0,0.0,10.0,3.0,6.0,6.0,5.0,7.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,6.0,1.0,5.0,5.0,6.0,5.0,2.0,5.0,0.0,4.0,0.0,3.0,6.0,2.0,6.0,6.0,6.0,6.0,6.0,3.0,1.0,3.0,1.0,2.0,7.0,1.0,4.0,3.0,1.0,6.0,0.0,4.0,0.0,6.0,4.0,1.0,3.0
A.2_DikeIncrease 2,2.0,1.0,0.0,9.0,0.0,1.0,5.0,8.0,9.0,0.0,1.0,5.0,2.0,7.0,1.0,5.0,6.0,4.0,6.0,3.0,0.0,0.0,8.0,1.0,1.0,0.0,1.0,6.0,4.0,8.0,6.0,4.0,3.0,0.0,4.0,4.0,1.0,6.0,7.0,0.0,1.0,6.0,1.0,0.0,0.0,6.0,0.0,6.0,0.0,6.0,4.0,4.0,1.0,3.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0,3.0,1.0,5.0,1.0,1.0,7.0,3.0,3.0,6.0,7.0,2.0,4.0,1.0,0.0,1.0,6.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,5.0,4.0,4.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,7.0,6.0,6.0,0.0,1.0,3.0,6.0,1.0,2.0,0.0,6.0,4.0,0.0,6.0,7.0,5.0,2.0,2.0,0.0,6.0,1.0,1.0,7.0,4.0,6.0,0.0,7.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,0.0
A.3_DikeIncrease 0,9.0,8.0,0.0,6.0,9.0,4.0,5.0,2.0,5.0,10.0,10.0,7.0,5.0,4.0,4.0,2.0,9.0,1.0,6.0,10.0,8.0,5.0,3.0,6.0,4.0,6.0,1.0,6.0,1.0,9.0,4.0,10.0,4.0,1.0,3.0,1.0,5.0,1.0,7.0,5.0,3.0,6.0,6.0,7.0,6.0,4.0,6.0,1.0,4.0,9.0,6.0,6.0,7.0,5.0,1.0,4.0,7.0,1.0,7.0,0.0,1.0,1.0,6.0,5.0,7.0,3.0,9.0,1.0,1.0,6.0,6.0,0.0,4.0,5.0,0.0,10.0,1.0,6.0,4.0,1.0,7.0,4.0,8.0,6.0,7.0,6.0,5.0,3.0,3.0,7.0,2.0,7.0,5.0,0.0,6.0,0.0,6.0,5.0,9.0,5.0,5.0,4.0,1.0,5.0,2.0,8.0,1.0,6.0,0.0,7.0,9.0,2.0,9.0,2.0,5.0,3.0,6.0,1.0,5.0,5.0,6.0,5.0,5.0,6.0,6.0,6.0,0.0,8.0,6.0,3.0,2.0,0.0,3.0,4.0,1.0,5.0
A.3_DikeIncrease 1,2.0,2.0,0.0,2.0,2.0,4.0,3.0,5.0,2.0,2.0,10.0,0.0,0.0,0.0,4.0,7.0,3.0,3.0,2.0,3.0,5.0,2.0,4.0,5.0,5.0,4.0,10.0,2.0,1.0,2.0,5.0,0.0,3.0,4.0,0.0,1.0,1.0,5.0,0.0,5.0,2.0,2.0,2.0,5.0,4.0,4.0,0.0,7.0,3.0,4.0,2.0,2.0,7.0,3.0,4.0,4.0,2.0,2.0,4.0,3.0,10.0,8.0,0.0,4.0,5.0,10.0,2.0,9.0,7.0,3.0,2.0,1.0,3.0,3.0,5.0,3.0,5.0,1.0,6.0,7.0,3.0,4.0,5.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,6.0,3.0,5.0,2.0,2.0,1.0,5.0,8.0,4.0,2.0,2.0,7.0,4.0,5.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0,6.0,4.0,2.0,5.0,6.0,2.0,0.0,3.0,5.0,2.0,2.0,1.0,3.0,3.0,5.0,0.0,2.0,3.0,2.0,2.0
